ID,Name,Amount,Type,Destination,Date,Time,Priority
,e,0,N/A,N/A,N/A,N/A,N/A,0
AHH,k,0,N/A,test1,N/A,N/A,N/A,0
7224,Oxygen Mask,54,Equipment,N/A,lab1,2022-04-04,23:13:37,1
8755,Body Bag,678,Equipment,N/A,lab1,2022-04-04,23:13:37,1
8777,STRING,0,N/A,test1,N/A,N/A,N/A,0
8257,Dresing,876,Equipment,N/A,lab1,2022-04-04,23:13:37,1
9369,Ventilator,76,Equipment,N/A,lab1,2022-04-04,23:13:37,1
1280,Gloves,32,Equipment,N/A,lab1,2022-04-04,23:13:37,1
8150,First Aid Kit,76,Equipment,N/A,lab1,2022-04-04,23:36:55,1
330,Bone Saw,0,Equipment,N/A,lab1,2022-04-04,23:10:44,1
3837,Large Intestine,78,Equipment,N/A,lab1,2022-04-04,23:13:37,1
2964,Syringe,75,Equipment,N/A,lab1,2022-04-04,23:13:37,1
513,Masks,78,Equipment,N/A,lab1,2022-04-04,23:13:37,1
1012,First Aid Kit,1254,Equipment,N/A,lab1,2022-04-04,23:33:26,1
7777,HIF,0,N/A,test1,N/A,N/A,N/A,0
5678,Catheter,876,Equipment,N/A,lab1,2022-04-04,23:13:37,1
5592,Oximeter,743,Equipment,N/A,lab1,2022-04-04,23:13:37,1
7057,Gloves,32,Equipment,N/A,lab1,2022-04-04,23:12:44,1
6880,Nebulaizer,78,Equipment,N/A,lab1,2022-04-04,23:13:37,1
4740,Glucometer,766,Equipment,N/A,lab1,2022-04-04,23:13:37,1
3353,Bone Saw,78,Equipment,N/A,lab1,2022-04-04,23:13:37,1
2216,Sethoscope,45,Equipment,N/A,lab1,2022-04-04,23:13:37,1
TEST,test,0,N/A,test5,N/A,N/A,N/A,0
5900,Lollipop,78,Equipment,N/A,lab1,2022-04-04,23:13:37,1
6318,T,0,N/A,test2,N/A,N/A,N/A,0
