nodeID,xcoord,ycoord,floor,building,nodeType,longName,shortName
FDEPT00101,365,283,1,Tower,DEPT,Center for International Medicine,CIM
FDEPT00201,358,578,1,Tower,DEPT,Bretholtz Center for Patients and Families,Bretholtz WR
FDEPT00301,469,389,1,Tower,DEPT,Multifaith Chapel,Chapel
FDEPT00401,542,604,1,Tower,DEPT,Sharf Admitting Center,Sharf Center
FDEPT00501,876,758,1,Tower,DEPT,Emergency Department,Emergency
FDEPT00601,528,487,1,Tower,DEPT,International Patient Center,IPC
FEXIT00101,765,257,1,Tower,EXIT,Shattuck Street Lobby Exit,Shattuck St. Exit
FEXIT00201,496,779,1,Tower,EXIT,75 Francis Valet Drop-off,75 Francis Exit
FEXIT00301,847,815,1,Tower,EXIT,Emergency Department Entrance,Emergency Entrance
FHALL00101,803,368,1,Tower,HALL,Lower Pike Hallway Exit Lobby,Hallway F00101
FHALL00201,774,368,1,Tower,HALL,Lobby Shattuck Street,Hallway F00201
FHALL00301,765,368,1,Tower,HALL,Shattuck Street Lobby 1,Hallway F00301
FHALL00401,721,368,1,Tower,HALL,Shattuck Street Lobby 2,Hallway F00401
FHALL00501,698,368,1,Tower,HALL,Shattuck Street Lobby 3,Hallway F00501
FHALL00601,617,388,1,Tower,HALL,Tower Lobby Entrance 1,Tower Entrance
FHALL00701,506,388,1,Tower,HALL,Tower Elevator Entrance,Hallway F00701
FHALL00801,506,308,1,Tower,HALL,Tower Hallway 1,Hallway F00801
FHALL00901,375,308,1,Tower,HALL,Tower Hallway 2,Hallway F00901
FHALL01001,375,260,1,Tower,HALL,Tower Hallway 3,Hallway F01001
FHALL01101,375,388,1,Tower,HALL,Tower Hallway 4,Hallway F01101
FHALL01201,296,388,1,Tower,HALL,Tower Staff Entrance,Hallway F01201
FHALL01301,375,283,1,Tower,HALL,Tower Hallway 5,Hallway F01301
FHALL01401,375,487,1,Tower,HALL,Tower Hallway 6,Hallway F01401
FHALL01501,375,518,1,Tower,HALL,Tower Hallway 7,Hallway F01501
FHALL01601,506,518,1,Tower,HALL,Tower Hallway 8,Hallway F01601
FHALL01701,469,414,1,Tower,HALL,Tower Hallway 9,Hallway F01701
FHALL01801,506,414,1,Tower,HALL,Tower Hallway 10,Hallway F01801
FHALL01901,506,578,1,Tower,HALL,Tower Hallway 11,Hallway F01901
FHALL02001,448,578,1,Tower,HALL,Tower Hallway 12,Hallway F02001
FHALL02101,517,604,1,Tower,HALL,Tower Hallway Entrance,Tower Entrance 2
FHALL02201,517,738,1,Tower,HALL,Hallway Lobby Entrance,Entrance Hallway
FHALL02301,593,738,1,Tower,HALL,Lobby Hallway 1,Hallway F02301
FHALL02401,713,738,1,Tower,HALL,Lobby Hallway 2,Hallway F02401
FHALL02501,713,697,1,Tower,HALL,Lobby Hallway 3,Hallway F02501
FHALL02601,774,697,1,Tower,HALL,Lobby Hallway 4,Hallway F02601
FHALL02701,814,697,1,Tower,HALL,Lobby Hallway 7,Hallway F02701
FHALL02801,496,738,1,Tower,HALL,Lobby Entrance Hallway,HallwayF02801
FHALL02901,448,738,1,Tower,HALL,75 Lobby,75 Lobby
FHALL03001,393,704,1,Tower,HALL,Lobby Hallway 5,Hallway F02701
FHALL03101,774,434,1,Tower,HALL,Lobby Hallway 6,Hallway F02801
FHALL03201,506,487,1,Tower,HALL,Tower Hallway 13,Hallway F03201
FHALL03301,814,740,1,Tower,HALL,Emergency Hallway,Hallway F03301
FINFO00101,448,684,1,Tower,INFO,75 Lobby Information Desk,Lobby Info Desk
FLABS00101,593,708,1,Tower,LABS,Obstetrics Admitting,Obs Admitting
FREST00101,839,434,1,Tower,REST,Bathroom 75 Lobby,Bathroom Lobby
FRETL00101,721,302,1,Tower,RETL,Lobby Vending Machine,VM Lobby
FRETL00201,357,704,1,Tower,RETL,Au Bon Pain,ABP
FSERV00101,698,329,1,Tower,SERV,Shattuck Street Lobby ATM,Lobby ATM
FSERV00201,353,487,1,Tower,SERV,Tower Medical Cashier,Tower Cashier
FSERV00301,448,616,1,Tower,SERV,Kessler Library,Kessler Library
FSERV00401,469,428,1,Tower,DEPT,Spiritual Care Office,SCO
FSERV00501,393,738,1,Tower,SERV,75 Lobby Valet Cashier,Valet Cashier
